location_id,location_name,street_number,postal_code,city,country,capacity_info,accessibility_info,description
L001,De Wilg,Mecklenburglaan 3-5,3581 NV,Utretch,Netherlands,15-50 people,"Elevator, Accessible Toilet, Wheelchair Accessible Entrance/Exit",
L002,Tolhuistuin,Ijpromenade 2,1031 KT,Amsterdam,Netherlands,"Concert: 550 standing places, Reception: 400 standing places, Theater setup: 220 seating places, Dinner: 150 seating places","Accessible Toilet, Sensory-friendly room(s), Wheelchair Accessible Entrance/Exit",Cultural venue near IJ ferry
L003,Woolloomooloo,Janskerkhof 14,3512 BL,Utretch,Netherlands,"Main Hall: 150 to 450 people, , Kilomanjaro: 100 to 310 people, Combination rooms: 450 to 800 people","Accessible Toilet, Sensory-friendly room(s), Wheelchair Accessible Entrance/Exit",
