etype_id,etype_name,description
UGF,Uitgaansfeest,"Onze feesten zijn gezellig, toegankelijk én net even beter afgestemd. Denk aan prikkelarme ruimtes, toegankelijke locaties, vrijwilligers en buddy’s. Zo zorgen we ervoor dat iedereen zich welkom en veilig voelt op de dansvloe"
VMR,Vraag Maar Raak,"Hoe begin je een gesprek? Wat zeg je wel of niet? In onze workshops over communicatie krijg je praktische tips én zelfvertrouwen. En met slowdating kun je in alle rust kennismaken, mét leuke praatkaartjes voor als je even geen woorden hebt."
SPR,Sports,Samen sporten = meer motivatie Daarom koppelen we deelnemers aan vrijwilligers om samen te trainen voor o.a. de Utrecht Singelloop. Via onze Facebook- en WhatsApp-community delen we handige trainingsvideo’s en blijven we elkaar aanmoedigen.
OTH,Others,
